From	Entry	Entry Name	Protein names	Gene Names	Organism	Length
FHL3_MOUSE	Q9R059	FHL3_MOUSE	Four and a half LIM domains protein 3 (FHL-3) (Skeletal muscle LIM-protein 2) (SLIM-2)	Fhl3	Mus musculus (Mouse)	289
FXR1_MOUSE	Q61584	FXR1_MOUSE	RNA-binding protein FXR1 (FXR1P) (mFxr1p)	Fxr1 Fxr1h	Mus musculus (Mouse)	677
GCP60_MOUSE	Q8BMP6	GCP60_MOUSE	Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7)	Acbd3 Gcp60 Pap7	Mus musculus (Mouse)	525
GFAP_MOUSE	P03995	GFAP_MOUSE	Glial fibrillary acidic protein (GFAP)	Gfap	Mus musculus (Mouse)	430
GLRX3_MOUSE	Q9CQM9	GLRX3_MOUSE	Glutaredoxin-3 (PKC-interacting cousin of thioredoxin) (PICOT) (PKC-theta-interacting protein) (PKCq-interacting protein) (Thioredoxin-like protein 2)	Glrx3 Picot Txnl2	Mus musculus (Mouse)	337
GNL3_MOUSE	Q8CI11	GNL3_MOUSE	Guanine nucleotide-binding protein-like 3 (Nucleolar GTP-binding protein 3) (Nucleostemin)	Gnl3 Ns	Mus musculus (Mouse)	538
GSDMD_MOUSE	Q9D8T2	GSDMD_MOUSE	Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT) (mGSDMD-NTD) (p30); Gasdermin-D, C-terminal (GSDMD-CT) (mGSDMD-CTD) (p20); Gasdermin-D, p13 (Gasdermin-D, 13 kDa) (13 kDa GSDMD); Gasdermin-D, p40]	Gsdmd Gsdmdc1	Mus musculus (Mouse)	487
H15_MOUSE	P43276	H15_MOUSE	Histone H1.5 (H1 VAR.5) (H1b)	H1-5 H1f5 Hist1h1b	Mus musculus (Mouse)	223
H2AV_MOUSE	Q3THW5	H2AV_MOUSE	Histone H2A.V (H2A.F/Z) (H2A.Z variant histone 2)	H2az2 H2afv H2av	Mus musculus (Mouse)	128
H2AY_MOUSE	Q9QZQ8	H2AY_MOUSE	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (H2A.y) (H2A/y)	Macroh2a1 H2afy	Mus musculus (Mouse)	369
H2B1A_MOUSE	P70696	H2B1A_MOUSE	Histone H2B type 1-A (Histone H2B, testis) (Testis-specific histone H2B)	H2bc1 Hist1h2ba Th2b	Mus musculus (Mouse)	127
HA12_MOUSE	P01900	HA12_MOUSE	H-2 class I histocompatibility antigen, D-D alpha chain (H-2D(D))	H2-D1	Mus musculus (Mouse)	365
HA13_MOUSE	P14426	HA13_MOUSE	H-2 class I histocompatibility antigen, D-K alpha chain (H-2D(K))	H2-D1	Mus musculus (Mouse)	362
HAP28_MOUSE	Q3UHX2	HAP28_MOUSE	28 kDa heat- and acid-stable phosphoprotein (PDGF-associated protein) (PAP) (PDGFA-associated protein 1) (PAP1)	Pdap1	Mus musculus (Mouse)	181
HCLS1_MOUSE	P49710	HCLS1_MOUSE	Hematopoietic lineage cell-specific protein (Hematopoietic cell-specific LYN substrate 1) (LckBP1)	Hcls1 Hs1	Mus musculus (Mouse)	486
HNRDL_MOUSE	Q9Z130	HNRDL_MOUSE	Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (JKT41-binding protein)	Hnrnpdl Hnrpdl Jktbp	Mus musculus (Mouse)	301
HP1B3_MOUSE	Q3TEA8	HP1B3_MOUSE	Heterochromatin protein 1-binding protein 3	Hp1bp3	Mus musculus (Mouse)	554
IPYR_MOUSE	Q9D819	IPYR_MOUSE	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	Ppa1 Pp Pyp	Mus musculus (Mouse)	289
IRGM1_MOUSE	Q60766	IRGM1_MOUSE	Immunity-related GTPase family M protein 1 (EC 3.6.5.-) (Interferon-inducible GTPase 3) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47) (LRG-47)	Irgm1 Ifi1 Iigp3 Irgm	Mus musculus (Mouse)	409
ITA3_MOUSE	Q62470	ITA3_MOUSE	Integrin alpha-3 (CD49 antigen-like family member C) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	Itga3	Mus musculus (Mouse)	1053
K1C13_MOUSE	P08730	K1C13_MOUSE	Keratin, type I cytoskeletal 13 (47 kDa cytokeratin) (Cytokeratin-13) (CK-13) (Keratin-13) (K13)	Krt13 Krt1-13	Mus musculus (Mouse)	437
K2C1_MOUSE	P04104	K2C1_MOUSE	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Keratin-1) (K1) (Type-II keratin Kb1)	Krt1 Krt2-1	Mus musculus (Mouse)	637
K2C1B_MOUSE	Q6IFZ6	K2C1B_MOUSE	Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Embryonic type II keratin-1) (Keratin-77) (K77) (Type-II keratin Kb39)	Krt77 Krt1b	Mus musculus (Mouse)	572
KCRB_MOUSE	Q04447	KCRB_MOUSE	Creatine kinase B-type (EC 2.7.3.2) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B)	Ckb Ckbb	Mus musculus (Mouse)	381
KRT81_MOUSE	Q9ERE2	KRT81_MOUSE	Keratin, type II cuticular Hb1 (Keratin-81) (K81) (Type II hair keratin Hb1)	Krt81 Krt2-19	Mus musculus (Mouse)	481
LAMA5_MOUSE	Q61001	LAMA5_MOUSE	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)	Lama5	Mus musculus (Mouse)	3718
LBR_MOUSE	Q3U9G9	LBR_MOUSE	Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (Lamin-B receptor) (Sterol C14-reductase)	Lbr	Mus musculus (Mouse)	626
LC7L2_MOUSE	Q7TNC4	LC7L2_MOUSE	Putative RNA-binding protein Luc7-like 2 (CGI-74 homolog)	Luc7l2	Mus musculus (Mouse)	392
LC7L3_MOUSE	Q5SUF2	LC7L3_MOUSE	Luc7-like protein 3 (Cisplatin resistance-associated-overexpressed protein)	Luc7l3 Crop	Mus musculus (Mouse)	432
MARC2_MOUSE	Q922Q1	MARC2_MOUSE	Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.7.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)	Mtarc2 Marc2 Mg87 Mosc2	Mus musculus (Mouse)	338
MIC19_MOUSE	Q9CRB9	MIC19_MOUSE	MICOS complex subunit Mic19 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 3)	Chchd3 Mic19	Mus musculus (Mouse)	227
MTA2_MOUSE	Q9R190	MTA2_MOUSE	Metastasis-associated protein MTA2 (Metastasis-associated 1-like 1)	Mta2 Mta1l1	Mus musculus (Mouse)	668
MYDGF_MOUSE	Q9CPT4	MYDGF_MOUSE	Myeloid-derived growth factor (MYDGF)	Mydgf D17Wsu104e	Mus musculus (Mouse)	166
MYEF2_MOUSE	Q8C854	MYEF2_MOUSE	Myelin expression factor 2 (MEF-2) (MyEF-2)	Myef2 Kiaa1341 Mef2	Mus musculus (Mouse)	591
NDUA4_MOUSE	Q62425	NDUA4_MOUSE	Cytochrome c oxidase subunit NDUFA4	Ndufa4	Mus musculus (Mouse)	82
NDUS2_MOUSE	Q91WD5	NDUS2_MOUSE	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	Ndufs2	Mus musculus (Mouse)	463
NDUV1_MOUSE	Q91YT0	NDUV1_MOUSE	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (NDUFV1) (EC 7.1.1.2) (Complex I-51kD) (CI-51kD) (NADH-ubiquinone oxidoreductase 51 kDa subunit)	Ndufv1	Mus musculus (Mouse)	464
NH2L1_MOUSE	Q9D0T1	NH2L1_MOUSE	NHP2-like protein 1 (Fertilization antigen 1) (FA-1) (High mobility group-like nuclear protein 2 homolog 1) (Sperm-specific antigen 1) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]	Snu13 Nhp2l1 Ssfa1	Mus musculus (Mouse)	128
NOMO1_MOUSE	Q6GQT9	NOMO1_MOUSE	BOS complex subunit NOMO1 (Nodal modulator 1)	Nomo1	Mus musculus (Mouse)	1214
NPL4_MOUSE	P60670	NPL4_MOUSE	Nuclear protein localization protein 4 homolog (Protein NPL4)	Nploc4 Kiaa1499 Npl4	Mus musculus (Mouse)	608
NUP93_MOUSE	Q8BJ71	NUP93_MOUSE	Nuclear pore complex protein Nup93 (93 kDa nucleoporin) (CBP-interacting protein 4) (Nucleoporin Nup93)	Nup93 Cip4 Kiaa0095	Mus musculus (Mouse)	819
P5CR1_MOUSE	Q922W5	P5CR1_MOUSE	Pyrroline-5-carboxylate reductase 1, mitochondrial (P5C reductase 1) (P5CR 1) (EC 1.5.1.2)	Pycr1	Mus musculus (Mouse)	309
PARK7_MOUSE	Q99LX0	PARK7_MOUSE	Parkinson disease protein 7 homolog (Maillard deglycase) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124)	Park7	Mus musculus (Mouse)	189
PARP1_MOUSE	P11103	PARP1_MOUSE	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (msPARP) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (Poly [ADP-ribose] polymerase 1, 24-kDa form)]	Parp1 Adprp Adprt Adprt1	Mus musculus (Mouse)	1013
PFKAP_MOUSE	Q9WUA3	PFKAP_MOUSE	ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (EC 2.7.1.11) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C) (PFK-C) (Phosphohexokinase)	Pfkp Pfkc	Mus musculus (Mouse)	784
PGRC1_MOUSE	O55022	PGRC1_MOUSE	Membrane-associated progesterone receptor component 1 (mPR)	Pgrmc1 Pgrmc	Mus musculus (Mouse)	195
PLST_MOUSE	Q99K51	PLST_MOUSE	Plastin-3 (T-plastin)	Pls3	Mus musculus (Mouse)	630
PRC2C_MOUSE	Q3TLH4	PRC2C_MOUSE	Protein PRRC2C (BAT2 domain-containing protein 1) (HLA-B-associated transcript 2-like 2) (Proline-rich and coiled-coil-containing protein 2C)	Prrc2c Bat2d Bat2d1 Bat2l2 Kiaa1096	Mus musculus (Mouse)	2846
PSA5_MOUSE	Q9Z2U1	PSA5_MOUSE	Proteasome subunit alpha type-5 (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome zeta chain)	Psma5	Mus musculus (Mouse)	241
PSA7_MOUSE	Q9Z2U0	PSA7_MOUSE	Proteasome subunit alpha type-7 (Proteasome subunit RC6-1)	Psma7	Mus musculus (Mouse)	248
PSB7_MOUSE	P70195	PSB7_MOUSE	Proteasome subunit beta type-7 (EC 3.4.25.1) (Macropain chain Z) (Multicatalytic endopeptidase complex chain Z) (Proteasome subunit Z)	Psmb7 Mmc14	Mus musculus (Mouse)	277
PSD12_MOUSE	Q9D8W5	PSD12_MOUSE	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	Psmd12	Mus musculus (Mouse)	456
PSIP1_MOUSE	Q99JF8	PSIP1_MOUSE	PC4 and SFRS1-interacting protein (Lens epithelium-derived growth factor) (mLEDGF)	Psip1 Ledgf	Mus musculus (Mouse)	528
PTH2_MOUSE	Q8R2Y8	PTH2_MOUSE	Peptidyl-tRNA hydrolase 2, mitochondrial (PTH 2) (EC 3.1.1.29)	Ptrh2 Pth2	Mus musculus (Mouse)	181
PTMA_MOUSE	P26350	PTMA_MOUSE	Prothymosin alpha [Cleaved into: Prothymosin alpha, N-terminally processed; Thymosin alpha]	Ptma	Mus musculus (Mouse)	111
PYRG1_MOUSE	P70698	PYRG1_MOUSE	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	Ctps1 Ctps	Mus musculus (Mouse)	591
RAB35_MOUSE	Q6PHN9	RAB35_MOUSE	Ras-related protein Rab-35	Rab35	Mus musculus (Mouse)	201
RADI_MOUSE	P26043	RADI_MOUSE	Radixin (ESP10)	Rdx	Mus musculus (Mouse)	583
RAGP1_MOUSE	P46061	RAGP1_MOUSE	Ran GTPase-activating protein 1 (RanGAP1)	Rangap1 Fug1	Mus musculus (Mouse)	589
RAI14_MOUSE	Q9EP71	RAI14_MOUSE	Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Novel retinal pigment epithelial cell protein) (Retinoic acid-induced protein 14) (p125)	Rai14 Kiaa1334 Norpeg	Mus musculus (Mouse)	979
RCN2_MOUSE	Q8BP92	RCN2_MOUSE	Reticulocalbin-2 (Taipoxin-associated calcium-binding protein 49) (TCBP-49)	Rcn2	Mus musculus (Mouse)	320
RL11_MOUSE	Q9CXW4	RL11_MOUSE	Large ribosomal subunit protein uL5 (60S ribosomal protein L11)	Rpl11	Mus musculus (Mouse)	178
RL29_MOUSE	P47915	RL29_MOUSE	Large ribosomal subunit protein eL29 (60S ribosomal protein L29)	Rpl29 Rpl43	Mus musculus (Mouse)	160
RL37A_MOUSE	P61514	RL37A_MOUSE	Large ribosomal subunit protein eL43 (60S ribosomal protein L37a)	Rpl37a	Mus musculus (Mouse)	92
RL8_MOUSE	P62918	RL8_MOUSE	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	Rpl8	Mus musculus (Mouse)	257
RS23_MOUSE	P62267	RS23_MOUSE	Small ribosomal subunit protein uS12 (40S ribosomal protein S23)	Rps23	Mus musculus (Mouse)	143
RS24_MOUSE	P62849	RS24_MOUSE	Small ribosomal subunit protein eS24 (40S ribosomal protein S24)	Rps24	Mus musculus (Mouse)	133
RS26_MOUSE	P62855	RS26_MOUSE	Small ribosomal subunit protein eS26 (40S ribosomal protein S26)	Rps26	Mus musculus (Mouse)	115
RS5_MOUSE	P97461	RS5_MOUSE	Small ribosomal subunit protein uS7 (40S ribosomal protein S5) [Cleaved into: Small ribosomal subunit protein uS7, N-terminally processed]	Rps5	Mus musculus (Mouse)	204
S38A2_MOUSE	Q8CFE6	S38A2_MOUSE	Sodium-coupled neutral amino acid symporter 2 (Amino acid transporter A2) (Solute carrier family 38 member 2) (System A amino acid transporter 2) (System A transporter 1) (System N amino acid transporter 2)	Slc38a2 Ata2 Kiaa1382 Sat2 Snat2	Mus musculus (Mouse)	504
S61A1_MOUSE	P61620	S61A1_MOUSE	Protein transport protein Sec61 subunit alpha isoform 1 (Sec61 alpha-1)	Sec61a1 Sec61a	Mus musculus (Mouse)	476
SAHH2_MOUSE	Q80SW1	SAHH2_MOUSE	S-adenosylhomocysteine hydrolase-like protein 1 (IP3R-binding protein released with inositol 1,4,5-trisphosphate) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2)	Ahcyl1 Irbit	Mus musculus (Mouse)	530
SARNP_MOUSE	Q9D1J3	SARNP_MOUSE	SAP domain-containing ribonucleoprotein (Nuclear protein Hcc-1)	Sarnp Hcc1	Mus musculus (Mouse)	210
SCAM3_MOUSE	O35609	SCAM3_MOUSE	Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3)	Scamp3	Mus musculus (Mouse)	349
SF01_MOUSE	Q64213	SF01_MOUSE	Splicing factor 1 (CW17) (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (mZFM) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162)	Sf1 Zfm1 Zfp162	Mus musculus (Mouse)	653
SH3L1_MOUSE	Q9JJU8	SH3L1_MOUSE	Adapter Sh3bgrl (SH3 domain-binding glutamic acid-rich-like protein 1)	Sh3bgrl	Mus musculus (Mouse)	114
SNAA_MOUSE	Q9DB05	SNAA_MOUSE	Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha)	Napa Snapa	Mus musculus (Mouse)	295
SOAT1_MOUSE	Q61263	SOAT1_MOUSE	Sterol O-acyltransferase 1 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 1) (ACAT-1) (Cholesterol acyltransferase 1)	Soat1 Acact	Mus musculus (Mouse)	540
SPB6_MOUSE	Q60854	SPB6_MOUSE	Serpin B6 (Placental thrombin inhibitor) (Proteinase inhibitor 6) (PI-6)	Serpinb6 Serpinb6a Spi3	Mus musculus (Mouse)	378
SQSTM_MOUSE	Q64337	SQSTM_MOUSE	Sequestosome-1 (STONE14) (Ubiquitin-binding protein p62)	Sqstm1 A170 STAP	Mus musculus (Mouse)	442
SRSF7_MOUSE	Q8BL97	SRSF7_MOUSE	Serine/arginine-rich splicing factor 7 (Splicing factor, arginine/serine-rich 7)	Srsf7 Sfrs7	Mus musculus (Mouse)	267
STMN1_MOUSE	P54227	STMN1_MOUSE	Stathmin (Leukemia-associated gene protein) (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Prosolin) (Protein Pr22) (pp17)	Stmn1 Lag Lap18 Pr22	Mus musculus (Mouse)	149
STT3B_MOUSE	Q3TDQ1	STT3B_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (Oligosaccharyl transferase subunit STT3B) (STT3-B) (EC 2.4.99.18) (B6dom1 antigen) (Source of immunodominant MHC-associated peptides)	Stt3b Simp	Mus musculus (Mouse)	823
SUCA_MOUSE	Q9WUM5	SUCA_MOUSE	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	Suclg1	Mus musculus (Mouse)	346
TCPW_MOUSE	Q61390	TCPW_MOUSE	T-complex protein 1 subunit zeta-2 (TCP-1-zeta-2) (CCT-zeta-2) (Cctz-2)	Cct6b	Mus musculus (Mouse)	531
TPD54_MOUSE	Q9CYZ2	TPD54_MOUSE	Tumor protein D54 (Tumor protein D52-like 2)	Tpd52l2	Mus musculus (Mouse)	220
TPP2_MOUSE	Q64514	TPP2_MOUSE	Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II)	Tpp2	Mus musculus (Mouse)	1262
TPSN_MOUSE	Q9R233	TPSN_MOUSE	Tapasin (TPN) (TPSN) (TAP-associated protein) (TAP-binding protein)	Tapbp Tapa	Mus musculus (Mouse)	465
TRXR1_MOUSE	Q9JMH6	TRXR1_MOUSE	Thioredoxin reductase 1, cytoplasmic (TR) (EC 1.8.1.9) (Peroxidase TXNRD1) (EC 1.11.1.2) (Thioredoxin reductase TR1)	Txnrd1 Trxr1	Mus musculus (Mouse)	613
TXNL1_MOUSE	Q8CDN6	TXNL1_MOUSE	Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein)	Txnl1 Trp32 Txnl	Mus musculus (Mouse)	289
TXTP_MOUSE	Q8JZU2	TXTP_MOUSE	Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)	Slc25a1	Mus musculus (Mouse)	311
UBE2N_MOUSE	P61089	UBE2N_MOUSE	Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (Bendless-like ubiquitin-conjugating enzyme) (E2 ubiquitin-conjugating enzyme N) (Ubc13) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N)	Ube2n Blu	Mus musculus (Mouse)	152
UCRI_MOUSE	Q9CR68	UCRI_MOUSE	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (8 kDa subunit 9) (Complex III subunit IX) (Cytochrome b-c1 complex subunit 11) (UQCRFS1 mitochondrial targeting sequence) (UQCRFS1 MTS) (Ubiquinol-cytochrome c reductase 8 kDa protein)]	Uqcrfs1	Mus musculus (Mouse)	274
UMPS_MOUSE	P13439	UMPS_MOUSE	Uridine 5'-monophosphate synthase (UMP synthase) [Includes: Orotate phosphoribosyltransferase (OPRTase) (EC 2.4.2.10); Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMPdecase)]	Umps	Mus musculus (Mouse)	481
VASP_MOUSE	P70460	VASP_MOUSE	Vasodilator-stimulated phosphoprotein (VASP)	Vasp	Mus musculus (Mouse)	375
VCAM1_MOUSE	P29533	VCAM1_MOUSE	Vascular cell adhesion protein 1 (V-CAM 1) (VCAM-1) (CD antigen CD106) [Cleaved into: Soluble Vascular Cell Adhesion Molecule-1]	Vcam1 Vcam-1	Mus musculus (Mouse)	739
VPS29_MOUSE	Q9QZ88	VPS29_MOUSE	Vacuolar protein sorting-associated protein 29 (Vesicle protein sorting 29)	Vps29	Mus musculus (Mouse)	182
YBOX3_MOUSE	Q9JKB3	YBOX3_MOUSE	Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Y-box protein 3)	Ybx3 Csda Msy4	Mus musculus (Mouse)	361
ABCE1_MOUSE	P61222	ABCE1_MOUSE	ATP-binding cassette sub-family E member 1 (RNase L inhibitor) (EC 3.6.5.-) (Ribonuclease 4 inhibitor) (RNS4I)	Abce1 Rli	Mus musculus (Mouse)	599
ACTY_MOUSE	Q8R5C5	ACTY_MOUSE	Beta-centractin (Actin-related protein 1B) (ARP1B)	Actr1b	Mus musculus (Mouse)	376
ADK_MOUSE	P55264	ADK_MOUSE	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	Adk	Mus musculus (Mouse)	361
AIMP1_MOUSE	P31230	AIMP1_MOUSE	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-2) (Endothelial monocyte-activating polypeptide II) (EMAP-II) (Small inducible cytokine subfamily E member 1)]	Aimp1 Emap2 Scye1	Mus musculus (Mouse)	310
AKAP2_MOUSE	O54931	AKAP2_MOUSE	PALM2-AKAP2 fusion protein (A-kinase anchor protein 2) (AKAP-2) (AKAP expressed in kidney and lung) (AKAP-KL) (Paralemmin A kinase anchor protein) (Paralemmin-2) (Protein kinase A-anchoring protein 2) (PRKA2)	Pakap Akap2 Palm2 Palm2akap2	Mus musculus (Mouse)	1089
AN32B_MOUSE	Q9EST5	AN32B_MOUSE	Acidic leucine-rich nuclear phosphoprotein 32 family member B (Proliferation-related acidic leucine-rich protein PAL31)	Anp32b Pal31	Mus musculus (Mouse)	272
AP1G1_MOUSE	P22892	AP1G1_MOUSE	AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma-adaptin) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1)	Ap1g1 Adtg Clapg1	Mus musculus (Mouse)	822
ARP2_MOUSE	P61161	ARP2_MOUSE	Actin-related protein 2 (Actin-like protein 2)	Actr2 Arp2	Mus musculus (Mouse)	394
ARPC3_MOUSE	Q9JM76	ARPC3_MOUSE	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)	Arpc3	Mus musculus (Mouse)	178
ARPC4_MOUSE	P59999	ARPC4_MOUSE	Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC)	Arpc4 Arc20	Mus musculus (Mouse)	168
ATPD_MOUSE	Q9D3D9	ATPD_MOUSE	ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)	Atp5f1d Atp5d	Mus musculus (Mouse)	168
CADM1_MOUSE	Q8R5M8	CADM1_MOUSE	Cell adhesion molecule 1 (Immunoglobulin superfamily member 4) (IgSF4) (Nectin-like protein 2) (NECL-2) (Spermatogenic immunoglobulin superfamily) (SgIgSF) (Synaptic cell adhesion molecule) (SynCAM) (Tumor suppressor in lung cancer 1) (TSLC-1)	Cadm1 Igsf4 Necl2 Ra175 Syncam SynCam1 Tslc1	Mus musculus (Mouse)	456
CD44_MOUSE	P15379	CD44_MOUSE	CD44 antigen (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Lymphocyte antigen 24) (Ly-24) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	Cd44 Ly-24	Mus musculus (Mouse)	778
CDC37_MOUSE	Q61081	CDC37_MOUSE	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]	Cdc37	Mus musculus (Mouse)	379
CDV3_MOUSE	Q4VAA2	CDV3_MOUSE	Protein CDV3 (Carnitine deficiency-associated protein 3) (Tyrosine-phosphorylated protein 36) (TPP36)	Cdv3	Mus musculus (Mouse)	281
COPE_MOUSE	O89079	COPE_MOUSE	Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP)	Cope Cope1	Mus musculus (Mouse)	308
COX5B_MOUSE	P19536	COX5B_MOUSE	Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)	Cox5b	Mus musculus (Mouse)	128
CPSF5_MOUSE	Q9CQF3	CPSF5_MOUSE	Cleavage and polyadenylation specificity factor subunit 5 (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Nudix hydrolase 21)	Nudt21 Cpsf5	Mus musculus (Mouse)	227
CPSF6_MOUSE	Q6NVF9	CPSF6_MOUSE	Cleavage and polyadenylation specificity factor subunit 6	Cpsf6	Mus musculus (Mouse)	551
CREL2_MOUSE	Q9CYA0	CREL2_MOUSE	Protein disulfide isomerase Creld2 (EC 5.3.4.1) (Cysteine-rich with EGF-like domain protein 2)	Creld2	Mus musculus (Mouse)	350
CSK2B_MOUSE	P67871	CSK2B_MOUSE	Casein kinase II subunit beta (CK II beta) (Phosvitin)	Csnk2b Ck2n	Mus musculus (Mouse)	215
